,itemid,sellerid
0,528759674980,2493613286
1,559284211545,1987641889
2,521406153256,2587124438
3,529056282442,2541984531
4,520517074892,2541984531
5,38143181564,707360547
6,12806596581,707360547
7,547601848988,2493730606
8,556597952103,3256471386
9,559624588779,1103720702
10,561614877043,3256471386
11,540515407392,3018320265
12,562483761064,707360547
13,521396343301,2587124438
14,38087781618,1040076538
15,557953855951,3018320265
16,549385390057,2587124438
17,546205119951,2493613286
18,532681632414,2587124438
19,564544886798,1040076538
20,569389097859,2493730606
21,544880179052,3125065991
22,523135348012,2587124438
23,45004792345,2493730606
24,526970177031,2541984531
25,546425544029,3018320265
26,548747282158,3018320265
27,544143544392,2616970884
28,537496841391,2840408584
29,540514898051,3018320265
30,546881803444,3018320265
31,564322352707,3018320265
32,521394031194,2587124438
33,538654023449,2840408584
34,564510697682,707360547
35,548169365517,1040076538
36,546803203498,1040076538
37,564268622960,3018320265
38,521610383424,1667642547
39,522619891380,2587124438
40,521409470904,2587124438
41,565151109850,3331806895
42,568581419713,1103720702
43,573203630131,4010551153
44,528867980997,1656580547
45,542682799398,2177983911
46,561295820185,3234921736
47,564665767392,723348683
48,564326350873,3256471386
49,570567867438,2177983911
50,552702528494,707360547
51,540516354249,3018320265
52,547361855406,1968239180
53,16132009167,1040076538
54,529739401464,712526500
55,13969780188,707360547
56,561934602229,3234921736
57,563129911282,3234921736
58,529449150262,1674440851
59,546017840824,712526500
